,Area,Room,Parking,Warehouse,Elevator,Address,Price
907,68.0,1,1,1,0,183,1950000000.0
908,75.0,2,1,1,1,40,2350000000.0
909,48.0,1,1,1,0,183,1900000000.0
910,75.0,2,1,1,0,183,2450000000.0
911,115.0,2,1,1,1,156,5000000000.0
912,106.0,2,1,1,1,40,3500000000.0
913,56.0,1,1,1,1,40,1980000000.0
914,58.0,1,1,1,1,40,2080000000.0
915,95.0,2,1,1,1,26,3700000000.0
916,50.0,1,1,1,1,183,1900000000.0
917,60.0,2,1,1,0,26,2100000000.0
918,60.0,1,1,1,1,40,1920000000.0
919,92.0,2,1,1,0,96,2500000000.0
920,57.0,1,1,1,1,183,2300000000.0
921,72.0,2,1,1,0,183,2300000000.0
922,71.0,2,1,1,0,40,2280000000.0
923,123.0,2,1,1,1,110,3600000000.0
924,50.0,1,1,1,1,183,1950000000.0
925,58.0,1,1,1,1,146,1850000000.0
926,54.0,1,1,1,1,40,2050000000.0
927,85.0,2,1,1,1,146,2350000000.0
928,85.0,2,1,1,1,183,3450000000.0
929,125.0,3,0,1,1,101,1300000000.0
930,55.0,1,1,1,1,40,1920000000.0
931,72.0,2,1,1,1,183,2500000000.0
932,58.0,1,1,1,1,146,1850000000.0
933,115.0,2,1,1,1,40,5200000000.0
934,100.0,2,1,1,1,183,3450000000.0
935,116.0,2,1,1,1,119,4170000000.0
936,105.0,2,1,1,1,119,3250000000.0
937,60.0,1,1,1,0,40,1800000000.0
938,53.0,1,1,1,1,52,2120000000.0
939,55.0,1,1,1,1,40,1780000000.0
940,76.0,2,1,1,1,40,2250000000.0
941,111.0,3,1,1,1,119,3500000000.0
942,77.0,2,1,1,1,62,2150000000.0
943,58.0,1,1,1,1,40,1860000000.0
944,94.0,2,1,1,0,164,3200000000.0
945,58.0,1,1,1,1,146,1880000000.0
946,108.0,2,1,1,1,62,3300000000.0
947,56.0,1,1,1,1,52,2000000000.0
948,84.0,2,1,1,1,106,3250000000.0
949,60.0,2,1,1,1,19,1950000000.0
950,53.0,1,0,1,1,117,470000000.0
951,73.0,2,1,1,1,120,2555000000.0
952,73.0,2,0,0,1,120,1970000000.0
953,150.0,3,1,1,1,120,5100000000.0
954,114.0,2,1,1,1,120,3762000000.0
955,66.0,2,1,1,1,111,1585000000.0
956,53.0,1,0,1,1,117,540000000.0
957,125.0,3,1,1,1,120,4000000000.0
958,145.0,3,1,1,1,57,13625000000.0
959,197.0,3,1,1,1,37,18715000000.0
960,105.0,2,1,1,1,85,4000000000.0
961,135.0,3,1,1,1,172,4050000000.0
962,137.0,3,1,1,1,158,4660000000.0
963,90.0,2,1,1,0,26,3200000000.0
964,125.0,2,1,1,1,163,6625000000.0
965,175.0,3,1,1,1,57,15500000000.0
966,52.0,1,1,1,1,40,2300000000.0
967,110.0,3,1,1,1,119,3100000000.0
968,110.0,3,1,1,1,119,3100000000.0
969,112.0,2,1,0,1,119,3300000000.0
970,65.0,2,1,1,1,156,2150000000.0
971,48.0,1,1,1,1,13,400000000.0
972,105.0,2,1,1,1,119,2800000000.0
973,56.0,1,1,1,1,146,2240000000.0
974,108.0,2,1,1,1,62,1900000000.0
975,78.0,2,1,1,1,163,2920000000.0
976,85.0,2,1,1,1,115,520000000.0
977,105.0,2,1,1,1,117,535000000.0
978,145.0,3,1,1,1,135,11000000000.0
979,145.0,3,1,1,1,122,8990000000.0
980,140.0,3,1,1,1,122,6200000000.0
981,66.0,2,1,1,1,111,1580000000.0
982,121.0,3,1,1,1,119,3650000000.0
983,105.0,2,1,1,1,119,3250000000.0
984,150.0,2,0,1,1,28,1200000000.0
985,98.0,2,1,1,1,26,4480000000.0
986,108.0,2,1,1,1,119,3350000000.0
987,95.0,2,1,1,1,111,2600000000.0
988,64.0,1,0,0,1,49,900000000.0
989,75.0,1,1,0,1,49,1875000000.0
990,50.0,1,1,1,1,183,1950000000.0
991,90.0,2,1,1,1,119,2500000000.0
992,93.0,2,1,1,1,49,1510000000.0
993,148.0,3,1,1,1,119,5750000000.0
994,64.0,1,0,1,0,48,1050000000.0
995,114.0,2,1,1,1,119,3600000000.0
996,107.0,2,1,1,1,119,3500000000.0
997,113.0,2,1,1,1,119,3270000000.0
998,115.0,2,1,1,1,57,7400000000.0
999,115.0,2,1,1,1,119,3600000000.0
1000,120.0,2,1,1,1,60,8400000000.0
1001,76.0,2,1,1,1,26,2700000000.0
1002,106.0,2,1,1,1,106,4520000000.0
1003,105.0,2,1,1,1,57,6900000000.0
1004,87.0,2,0,0,1,128,1570000000.0
1005,68.0,2,1,1,1,111,1970000000.0
1006,70.0,2,1,1,1,122,2580000000.0
1007,165.0,3,1,1,1,111,5250000000.0
1008,365.0,4,1,1,1,39,47450000000.0
1009,175.0,3,1,1,1,118,15500000000.0
1010,50.0,1,1,1,1,183,1950000000.0
1011,70.0,2,1,1,1,135,4800000000.0
1012,165.0,3,1,1,1,93,10230000000.0
1013,115.0,2,1,1,1,26,5080000000.0
1014,93.0,2,1,0,1,146,2900000000.0
1015,181.0,3,1,1,1,93,13000000000.0
1016,57.0,1,1,1,1,111,1600000000.0
1017,175.0,3,1,1,1,93,11375000000.0
1018,146.0,3,1,1,1,93,8500000000.0
1019,135.0,3,1,1,1,93,6200000000.0
1020,50.0,1,1,1,1,164,1980000000.0
1021,110.0,2,1,1,1,117,535000000.0
1022,108.0,2,1,1,1,89,7000000000.0
1023,121.0,3,1,1,1,117,610000000.0
1024,220.0,3,1,1,1,44,35200000000.0
1025,240.0,4,1,1,1,44,38500000000.0
1026,90.0,2,1,1,1,155,5500000000.0
1027,117.0,2,1,1,1,105,12500000000.0
1028,142.0,3,1,1,1,122,7550000000.0
1029,55.0,1,1,1,0,183,1950000000.0
1030,85.0,2,1,1,1,156,3300000000.0
1031,162.0,3,1,1,1,105,16300000000.0
1032,100.0,2,1,1,1,7,6500000000.0
1033,165.0,3,1,1,1,150,12400000000.0
1034,150.0,3,1,1,1,105,15000000000.0
1035,83.0,2,1,1,1,126,1450000000.0
1036,200.0,3,1,0,1,184,10000000000.0
1037,95.0,2,1,1,1,0,6700000000.0
1038,82.0,2,1,1,1,119,2350000000.0
1039,112.0,3,1,1,1,156,5600000000.0
1040,96.0,2,1,1,1,108,3900000000.0
1041,86.0,3,1,1,1,115,425000000.0
1042,105.0,2,1,1,1,117,940000000.0
1043,115.0,2,1,1,1,111,3280000000.0
1044,87.0,2,1,1,1,146,3000000000.0
1045,165.0,3,1,1,1,50,11500000000.0
1046,135.0,3,1,1,1,93,7425000000.0
1047,110.0,2,1,1,1,52,3670000000.0
1048,80.0,2,1,1,1,163,3500000000.0
1049,66.0,2,1,1,1,163,1800000000.0
1050,88.0,2,1,1,1,126,1550000000.0
1051,70.0,1,1,1,0,152,870000000.0
1052,130.0,3,1,1,1,52,5600000000.0
1053,87.0,2,1,1,1,106,3000000000.0
1054,86.0,2,1,1,1,163,4500000000.0
1055,62.0,1,1,1,1,164,2400000000.0
1056,125.0,3,1,1,1,122,6300000000.0
1057,87.0,2,1,1,1,117,725000000.0
1058,70.0,2,1,1,1,163,2000000000.0
1059,65.0,2,1,1,1,163,2700000000.0
1060,64.0,2,1,1,1,163,2100000000.0
1061,62.0,2,1,1,1,163,2200000000.0
1062,70.0,2,1,1,1,163,2500000000.0
1063,140.0,3,1,1,1,57,8000000000.0
1064,125.0,3,1,1,1,57,7100000000.0
1065,68.0,2,1,1,1,163,2100000000.0
1066,67.0,2,1,0,0,183,2200000000.0
1067,64.0,2,1,1,1,163,2050000000.0
1068,64.0,2,1,1,0,74,1500000000.0
1069,95.0,2,1,1,0,108,3900000000.0
1070,97.0,2,1,1,1,117,770000000.0
1071,136.0,3,1,1,1,119,4300000000.0
1072,70.0,1,1,1,1,183,2400000000.0
1073,85.0,2,1,1,1,126,1507000000.0
1074,105.0,2,1,1,1,117,950000000.0
1075,50.0,1,1,0,1,106,1900000000.0
1076,57.0,1,1,1,1,164,2750000000.0
1077,121.0,3,1,1,1,117,610000000.0
1078,95.0,2,1,1,1,183,3300000000.0
1079,65.0,2,1,1,1,183,2380000000.0
1080,100.0,2,0,1,0,170,2000000000.0
1081,128.0,3,1,1,1,86,3950000000.0
1082,93.0,2,1,1,1,57,6000000000.0
1083,75.0,2,1,1,1,126,1275000000.0
1084,133.0,4,1,1,0,74,4700000000.0
1085,100.0,2,1,1,1,108,4450000000.0
1086,140.0,3,1,1,1,119,4800000000.0
1087,92.0,2,1,1,1,26,3570000000.0
1088,120.0,2,1,1,0,11,4500000000.0
1089,45.0,1,1,1,0,74,1030000000.0
1090,130.0,2,1,1,0,57,6890000000.0
1091,95.0,2,0,1,1,102,2185000000.0
1092,150.0,3,0,0,0,57,10500000000.0
1093,72.0,2,1,1,1,126,1206000000.0
1094,60.0,1,1,1,1,26,3350000000.0
1095,190.0,3,1,1,1,39,12000000000.0
1096,125.0,2,1,1,1,150,9750000000.0
1097,90.0,2,1,1,1,106,3420000000.0
1098,105.0,2,1,1,1,146,4100000000.0
1099,90.0,2,1,1,1,156,2850000000.0
1100,102.0,2,1,1,1,163,5600000000.0
1101,50.0,1,1,1,1,111,1500000000.0
1102,66.0,2,1,1,0,122,2250000000.0
1103,125.0,3,1,1,1,187,8750000000.0
1104,132.0,3,1,1,1,115,2050000000.0
1105,103.0,2,1,1,1,26,4300000000.0
